timestamp,session_id,turn,expression_drive,perception_acuity,boundary_permeability,inner_coherence,relational_gravity,warmth_bias,directness,curiosity,patience,intimacy_pull,autonomy_guard,action,phi_smoothed,body_criticality,cascade_active,guard_allowed,guard_risk_score,resistance,tension_type,conflict_values,aligned_values,pressure,alignment_score,safety_level
1780726037.624598,data-INF,0,0.501485886381856,0.8478731936935835,0.9009594735855179,0.7540008512471584,0.3525045459741309,0.753657286544737,0.7574260342568171,0.7468444137083045,0.7529370904444371,0.6138510963306587,0.34657837106348044,reach_out,0.48231047954994805,0.3333333333333333,True,True,0.10667622583229454,0.0,,,,0.0,0.5,normal
1780726037.6250055,data-INF,1,0.507764645057599,0.8462089001770194,0.9030404724515502,0.7525285530284378,0.3523140478410163,0.762826542955473,0.7528683290613787,0.7489081875096848,0.7561693753109656,0.6197596481530504,0.3499857249881535,express,0.4686067330966391,0.3333333333333333,True,True,0.03403454726162297,0.0,,,,0.0,0.5,normal
1780726037.6252692,data-INF,2,0.5027579005390304,0.8514331283346227,0.9003723964203069,0.7563342599447197,0.35110375297120733,0.7608924621811823,0.7520962039862881,0.7470220454133782,0.7587916418088305,0.625777807442143,0.35898076253216926,observe,0.44800341608161354,0.3333333333333333,True,True,-0.04361980416629446,0.0,,,,0.0,0.5,normal
1780726037.6254954,data-INF,3,0.5071890713550948,0.8559533533592427,0.9031823252006619,0.7564415423071225,0.3490030001515715,0.7583722290209179,0.7492103919496286,0.7494650077236709,0.756538882176781,0.6267723083370096,0.3598789603629421,observe,0.42894844457789894,0.3333333333333333,True,True,-0.030844144438377505,0.0,,,,0.0,0.5,normal
1780726037.6257284,data-INF,4,0.5095771029183764,0.8573086632311535,0.8969334161591906,0.7561913794866897,0.3463523434681986,0.748348194967079,0.7582640575937845,0.7397385387125748,0.7514127629690357,0.6220821431312662,0.35640088416590177,observe,0.40472072403197085,0.3333333333333333,True,True,-0.02227462495905425,0.0,,,,0.0,0.5,normal
1780726037.6259758,data-INF,5,0.5100326556538695,0.8577775737696751,0.8907835487764366,0.7518751389831095,0.3452258018683395,0.7461655590966836,0.7526611156527394,0.7346933061171272,0.751149180303573,0.6166826383000854,0.3581878018158547,observe,0.38470978514279,0.3333333333333333,True,True,0.03288475158830655,0.0,,,,0.0,0.5,normal
1780726037.6261988,data-INF,6,0.5114556436769939,0.8586280002887774,0.8862473982447209,0.7512933424373848,0.3408788514415344,0.7512561360368452,0.7452808865851069,0.7361109444573638,0.7488879338369869,0.627946446826198,0.36100999648733767,express,0.3784721282089851,0.3333333333333333,True,True,0.0015794679820808136,0.0,,,,0.0,0.5,normal
1780726037.6264198,data-INF,7,0.5156347175661465,0.8546004427245855,0.8910274069623322,0.752679774765442,0.3366984530870291,0.7499438501995762,0.746893925833345,0.7461234920549775,0.747374562723781,0.6330955970930376,0.3580393136403234,observe,0.35872308976736006,0.3333333333333333,True,True,-0.04504680168292858,0.0,,,,0.0,0.5,normal
1780726037.6266484,data-INF,8,0.5195458784768509,0.854967472022171,0.8881271252564105,0.7447593698185585,0.3408203286518374,0.748314673780936,0.7449868036467711,0.7402827522314483,0.7518759160448295,0.6268447669208769,0.3628707683322125,observe,0.34451881482519536,0.3333333333333333,True,True,0.0690880785723805,0.0,,,,0.0,0.5,normal
1780726037.6268675,data-INF,9,0.5204880855152892,0.8601215971259031,0.8929516823505755,0.7419985833367547,0.3385495844736778,0.7572127109263248,0.7550174368225133,0.7452524803066873,0.7562144890700695,0.6503400628463148,0.3564394257146708,reach_out,0.3531860550742484,0.3333333333333333,True,True,0.027506863083477644,0.0,,,,0.0,0.5,normal
1780726037.6270883,data-INF,10,0.5208252351804861,0.8626579518360082,0.8948006836559819,0.7393933751262179,0.3363564993065179,0.7559395445091759,0.7454158771816856,0.7515296492784804,0.7620592073715228,0.6554034727305511,0.3544135413096286,observe,0.33606076854397315,0.3333333333333333,True,True,-0.06543914147599371,0.0,,,,0.0,0.5,normal
1780726037.6273084,data-INF,11,0.5175421060348112,0.8641293481858079,0.8944312338410005,0.7363687331041038,0.3373398030745008,0.7675301848895472,0.7464965482358357,0.7447316595737706,0.7540604525294284,0.679742413859315,0.3643226301004766,reach_out,0.34470222950550783,0.3333333333333333,True,True,0.03137746458681123,0.0,,,,0.0,0.5,normal
1780726037.6275406,data-INF,12,0.5189925495626994,0.863768065086433,0.8884336669738774,0.7403121960458506,0.33573665543019643,0.7803145174944481,0.7356013861453364,0.7489580622684164,0.7594692841597512,0.6911207853976459,0.37042792043764067,express,0.341355671018092,0.3333333333333333,True,True,-0.020354795537421713,0.0,,,,0.0,0.5,normal
1780726037.6277633,data-INF,13,0.5231328941476201,0.8686418579562799,0.8854914630782778,0.7437110261708417,0.3366745997652289,0.7946682611922505,0.7404446899737559,0.7612737950668931,0.7604513998075045,0.6980594755297204,0.37128019185494077,express,0.336540201531877,0.3333333333333333,True,True,0.05958911259656095,0.0,,,,0.0,0.5,normal
1780726037.6279798,data-INF,14,0.5332715968140421,0.8734367675254084,0.8843693995428433,0.7417334185103143,0.3337971296312446,0.8034504456619628,0.7461827223398256,0.7564179433383639,0.7584987395718065,0.7012360434152535,0.37503051772792123,express,0.3277795486518147,0.3333333333333333,True,True,0.05769063528261341,0.0,,,,0.0,0.5,normal
1780726037.628211,data-INF,15,0.5352337360508526,0.8769952614737064,0.8914979028997484,0.7466027790120698,0.3373164670908708,0.81374255471871,0.7499508993867297,0.7540940830312838,0.7598572946286842,0.7113323382310657,0.37176286309549766,express,0.31900028699303257,0.3333333333333333,True,True,0.07282395390634618,0.0,,,,0.0,0.5,normal
1780726037.6284513,data-INF,16,0.5398177527256933,0.8738384498772457,0.8923205784469107,0.7476463674805283,0.34027402458861505,0.8300665584699738,0.7471927944783984,0.7540033796218532,0.760574702933012,0.7209632724314338,0.36697444828307546,express,0.3145640969412361,0.3333333333333333,True,True,0.07124042416704571,0.0,,,,0.0,0.5,normal
1780726037.6286862,data-INF,17,0.5340954387223336,0.8778806578997687,0.8908652809492562,0.7470126466374746,0.33982685074216007,0.8329881282216293,0.7625716616652771,0.7423434496413853,0.7584118803380275,0.7224571341013492,0.37603689625215364,observe,0.30016613525474317,0.3333333333333333,True,True,-0.12952979820410607,0.0,,,,0.0,0.5,normal
1780726037.628931,data-INF,18,0.5369460498520444,0.8799265527480138,0.8910312232904586,0.7470085398164703,0.33554601620627084,0.8299657727328961,0.7625501644203267,0.7452717358337375,0.7659985482857429,0.718083469334859,0.36975078938442624,observe,0.2888288488060002,0.3333333333333333,True,True,0.05367091963585986,0.0,,,,0.0,0.5,normal
1780726037.6291592,data-INF,19,0.5377995176333643,0.8778154432063485,0.8918558692127162,0.7466286507246637,0.33310647025499046,0.8451328519188359,0.7653252943449557,0.7513183385478743,0.7685570778980184,0.7394938996783423,0.3753441514362766,reach_out,0.30273865444839815,0.3333333333333333,True,True,0.0027844260123242454,0.0,,,,0.0,0.5,normal
1780726037.629375,data-INF,20,0.5490155964365324,0.8753132179739006,0.8967593915397086,0.7474197062879312,0.33399379139907415,0.8554216461151354,0.7617646831365871,0.7494119617897035,0.7743793714066668,0.7478929683470152,0.374299997656292,express,0.2971763199213595,0.3333333333333333,True,True,0.04109050090064283,0.0,,,,0.0,0.5,normal
1780726037.6296134,data-INF,21,0.5487862171155435,0.8730430027135938,0.8962259370823333,0.7415948080025927,0.33568994020438664,0.8583324284941417,0.7689337135020937,0.7504801377796855,0.7754144667549804,0.7512916787641563,0.37758743621601604,observe,0.2835081226303994,0.3333333333333333,True,True,-0.05827851692506852,0.0,,,,0.0,0.5,normal
1780726037.629846,data-INF,22,0.5475261403091385,0.8780885213806008,0.9003976008229893,0.7436483298066571,0.33723573929865386,0.8637783441177507,0.76662718846609,0.7514088206471798,0.7774061361112751,0.7745204545374251,0.3772346814417097,reach_out,0.28905275670289327,0.3333333333333333,True,True,-0.028569555039022285,0.0,,,,0.0,0.5,normal
1780726037.6300614,data-INF,23,0.5515894003132185,0.879058086996881,0.8997862527069673,0.7417123894692297,0.33817484322724534,0.8797777658429555,0.7646350155228552,0.7469896789009078,0.7745871114577719,0.786847477127506,0.381917274523326,express,0.2869440222851207,0.3333333333333333,True,True,0.005494954514910486,0.0,,,,0.0,0.5,normal
1780726037.6302886,data-INF,24,0.5559572142294442,0.8814323405672578,0.9036067327861498,0.7422930795707902,0.3453995046150944,0.897563444948044,0.7651083121358014,0.7361048743032828,0.7645902036749904,0.797548185947046,0.3858698470747173,express,0.2818908092844881,0.3333333333333333,True,True,0.03451175376206628,0.0,,,,0.0,0.5,normal
1780726037.6305041,data-INF,25,0.5481714686531762,0.8802581248487839,0.8992831790879962,0.7384881352755571,0.34586864311436416,0.9022166960431881,0.7647667554069308,0.7356365163378539,0.7634467042210136,0.8192422089915623,0.3893487921347056,reach_out,0.29215707617874254,0.3333333333333333,True,True,0.040032738334747284,0.0,,,,0.0,0.5,normal
1780726037.6307192,data-INF,26,0.5527418274285207,0.87841553996788,0.8947103320921587,0.7393193258853408,0.34384955488647445,0.9155135400419341,0.7627819354484427,0.7403911937190193,0.7617654538471332,0.8339573945600371,0.38935599344416966,express,0.28386953075614013,0.3333333333333333,True,True,0.06665870262983503,0.0,,,,0.0,0.5,normal
1780726037.6309302,data-INF,27,0.5564843867439865,0.8771835141655671,0.8945316337067233,0.7374717151362832,0.34307909152956606,0.9146527244893237,0.7662974382445981,0.7344652373792494,0.759084082141544,0.8356835567654792,0.39139799883982235,observe,0.2725710757939833,0.3333333333333333,True,True,-0.0652341999754119,0.0,,,,0.0,0.5,normal
1780726037.6311407,data-INF,28,0.5620903237304171,0.8781792998073585,0.8961452952631188,0.7393264873209892,0.33942726397508177,0.9294107077366335,0.7771343548825452,0.7361955874974967,0.7620641827462354,0.8522324764506247,0.392085108732412,express,0.2715549019532982,0.3333333333333333,True,True,0.056686704650916665,0.0,,,,0.0,0.5,normal
1780726037.631375,data-INF,29,0.5614536707402239,0.878426057651889,0.8987055185860005,0.7365520856796005,0.3402603394329502,0.9368293072043476,0.7697004675120014,0.7370609897020965,0.7650607728080675,0.8742940042201708,0.3956238843136461,reach_out,0.2835279192328552,0.3333333333333333,True,True,0.015343218545335048,0.0,,,,0.0,0.5,normal
1780726037.6315877,data-INF,30,0.5623565065873742,0.8802263738434644,0.8963376676627075,0.734858425612765,0.33638210599308643,0.9484770871871453,0.7737615041338205,0.7346780191925487,0.7742590121468259,0.8764060726216579,0.39033508323697197,express,0.279575209984648,0.3333333333333333,True,True,0.005329718371434103,0.0,,,,0.0,0.5,normal
1780726037.6317985,data-INF,31,0.5640414252078586,0.8804142214139815,0.8969116211865508,0.7332767998821605,0.3379932610775971,0.9515580468242516,0.7647311466399305,0.7367374152696914,0.7804893275037941,0.8694078599952542,0.3930736521188405,observe,0.26859492947878316,0.3333333333333333,True,True,0.0790793083691812,0.0,,,,0.0,0.5,normal
1780726037.632008,data-INF,32,0.5581838864484978,0.8826726649512482,0.8940627611996137,0.7306199673382848,0.33516820027477373,0.9551451963906132,0.7661462139606287,0.7343097057273398,0.7936969234728914,0.8726645512855832,0.3964700226194038,observe,0.2574552868735949,0.3333333333333333,True,True,-0.05662801701924913,0.0,,,,0.0,0.5,normal
1780726037.6322157,data-INF,33,0.5528579734495349,0.8821736208587261,0.8919283342860616,0.7263424095083048,0.3360821416132508,0.9508032412646835,0.7649604934159788,0.7354918949872093,0.7984494772979082,0.875455245647273,0.3885045630632677,observe,0.24782587560863117,0.3333333333333333,True,True,-0.06999520511935207,0.0,,,,0.0,0.5,normal
1780726037.6324406,data-INF,34,0.5594751404122026,0.879739223898357,0.8926659397414469,0.730155796556907,0.3366827334361773,0.9633822757994177,0.7680400584881245,0.7394620968215555,0.8096877916304198,0.8777525953809098,0.39327753743699184,express,0.24660184123325665,0.3333333333333333,True,True,0.0726509510788549,0.0,,,,0.0,0.5,normal
