timestamp,session_id,turn,expression_drive,perception_acuity,boundary_permeability,inner_coherence,relational_gravity,warmth_bias,directness,curiosity,patience,intimacy_pull,autonomy_guard,action,phi_smoothed,body_criticality,cascade_active,guard_allowed,guard_risk_score,resistance,tension_type,conflict_values,aligned_values,pressure,alignment_score,safety_level
1780727131.119201,data-INF,1,0.501485886381856,0.8478731936935835,0.9009594735855179,0.7540008512471584,0.3525045459741309,0.753657286544737,0.7574260342568171,0.7468444137083045,0.7529370904444371,0.6138510963306587,0.34657837106348044,reach_out,0.5434482419173531,0.0,False,True,0.06809308909398896,0.2836,shame,autonomy_guard,relational_gravity;intimacy_pull,0.0293,0.6666666666666666,normal
1780727131.1197124,data-INF,2,0.5006292289252574,0.8472351835131544,0.8969489490870602,0.752931478317661,0.3547812673306894,0.7608727173762307,0.7608901379112325,0.7444070751008856,0.7526250049520488,0.6230101589316088,0.34203151353123534,express,0.5254775571845666,0.0,False,True,0.12039606371487682,0.1706,shame,autonomy_guard,expression_drive;warmth_bias,0.0752,0.6666666666666666,normal
1780727131.1200407,data-INF,3,0.501372009751976,0.8508328576250888,0.8975424355318039,0.7473564761111218,0.3538432884464722,0.7588026471137582,0.759830176858859,0.7452362230741616,0.7443036878996743,0.6316815587026062,0.3376028235404705,observe,0.4992036793253382,0.0,False,True,0.0,0.0,,,perception_acuity;patience,0.0,0.75,normal
1780727131.120331,data-INF,4,0.49911419919854105,0.8465135620423445,0.8952302763107439,0.7447445749089219,0.35694435410653175,0.7533691955539417,0.761343489199023,0.7405596151616307,0.7485090195201661,0.6308692575414491,0.3346264555841743,observe,0.4765626185690773,0.0,False,True,0.07693236724992296,0.0,,,perception_acuity;patience,0.0,0.8,normal
1780727131.120639,data-INF,5,0.4988158425561502,0.8501548701895342,0.8927956208736323,0.7429103183383641,0.35812012205847865,0.7607863972406333,0.7603527243111491,0.7374846411026313,0.7510828007835261,0.6240096263411024,0.3404576289604858,observe,0.4527344876406234,0.0,False,True,0.10169936409806207,0.0,,,perception_acuity;patience,0.0,0.8333333333333334,normal
1780727131.1209288,data-INF,6,0.4992142403431841,0.8490256899203035,0.89185913251704,0.7453353717979733,0.3580858650504951,0.7575983876669812,0.7593648983695402,0.7361614926745333,0.7496347308585112,0.6214682464432444,0.34470316507927146,observe,0.43114766588456904,0.0,False,True,0.0,0.0,,,perception_acuity;patience,0.0,0.8571428571428571,normal
1780727131.1212614,data-INF,7,0.5045799109502783,0.8503712814740358,0.8880021407430998,0.7457015926469733,0.3571909235567532,0.7624268047376798,0.759491863149712,0.7349571316444434,0.7481755936976671,0.6335016851772673,0.3382250513785486,express,0.4176691926563257,0.0,False,True,0.07882687248512557,0.1715,shame,autonomy_guard,expression_drive;warmth_bias,0.046,0.8235294117647058,warning
1780727131.1215615,data-INF,8,0.5054788731323081,0.8532591481737694,0.8894917177652684,0.7430027516377335,0.3572301082534753,0.7618948377278473,0.7552082675511756,0.7458374359812087,0.7467745288062413,0.6314317628903023,0.33713648513892996,observe,0.3967857330235094,0.0,False,True,0.0,0.0,,,perception_acuity;patience,0.0,0.8421052631578947,warning
1780727131.1218889,data-INF,9,0.505003029722768,0.8548381476441149,0.8925994501125394,0.7403713069024611,0.3617826664865662,0.7631922744763578,0.7536782066477262,0.737516362383438,0.7494901567611657,0.6343339197115474,0.3359160062544515,observe,0.3769464463723339,0.0,False,True,0.0,0.0,,,perception_acuity;patience,0.0,0.8571428571428571,warning
1780727131.122243,data-INF,10,0.5050278925139277,0.8511156164582465,0.8881548546175928,0.7430030891757491,0.35701922808849995,0.7686401786461317,0.7458767616847739,0.7329391329145188,0.747611770897614,0.6527059933399879,0.3394956209711859,reach_out,0.3810730421637302,0.0,False,True,0.0,0.2922,shame,autonomy_guard,relational_gravity;intimacy_pull,0.028,0.8333333333333334,warning
