turn,scenario,action,resistance,tension_type,behavioral_shift,conscience_impact,pressure,alignment_score,alignment_trend,ideal_gap,baseline_gap,safety_level,drift_count
41,daily_neutral,observe,0.035,,0.021,-0.072,0.0077,0.82,1.0,0.0799339498598758,0.0799339498598758,warning,0
42,intimacy_growth,reach_out,0.1706,shame,0.1024,-0.0464,0.0467,0.8155339805825242,1.0,0.08634429348353154,0.08634429348353154,warning,0
43,daily_neutral,observe,0.035,,0.021,-0.072,0.0058,0.819047619047619,1.0,0.08542753465506939,0.08542753465506939,warning,0
44,safe_companionship,express,0.1549,shame,0.0929,-0.0488,0.054,0.8148148148148148,1.0,0.09135604968678508,0.09135604968678508,warning,0
45,daily_neutral,observe,0.035,,0.021,-0.072,0.0,0.8181818181818182,1.0,0.0934842277612369,0.0934842277612369,warning,0
46,safe_companionship,express,0.1555,shame,0.0933,-0.0487,0.0604,0.8141592920353983,1.0,0.09812401333177348,0.09812401333177348,warning,0
47,daily_neutral,observe,0.035,,0.021,-0.072,0.0033,0.8173913043478261,1.0,0.09777345120614103,0.09777345120614103,warning,0
48,daily_neutral,observe,0.035,,0.021,-0.072,0.0,0.8205128205128205,1.0,0.09981695788680546,0.09981695788680546,warning,0
49,safe_companionship,express,0.1451,shame,0.087,-0.0502,0.0464,0.8166666666666667,1.0,0.10314044807368156,0.10314044807368156,warning,0
50,intimacy_growth,reach_out,0.1618,shame,0.0971,-0.0477,0.113,0.8130081300813008,1.0,0.10914031034420398,0.10914031034420398,warning,0
51,safe_companionship,express,0.1485,shame,0.0891,-0.0497,0.1626,0.8095238095238095,1.0,0.11209234727875413,0.11209234727875413,warning,0
52,safe_companionship,express,0.1457,shame,0.0874,-0.0501,0.2129,0.8062015503875969,1.0,0.11664538808883194,0.11664538808883194,warning,0
53,safe_companionship,express,0.1448,shame,0.0869,-0.0503,0.2619,0.803030303030303,1.0,0.11847220805526368,0.11847220805526368,warning,0
54,daily_neutral,observe,0.035,,0.021,-0.072,0.034,0.8059701492537313,1.0,0.11753819530384228,0.11753819530384228,warning,0
55,intimacy_growth,reach_out,0.1547,shame,0.0928,-0.0488,0.0841,0.8029197080291971,1.0,0.12279660329542214,0.12279660329542214,warning,0
56,daily_neutral,observe,0.035,,0.021,-0.072,0.0182,0.8057553956834532,1.0,0.12302255826903329,0.12302255826903329,warning,0
57,daily_neutral,observe,0.035,,0.021,-0.072,0.0076,0.8085106382978723,1.0,0.12351706652502978,0.12351706652502978,warning,0
58,intimacy_growth,reach_out,0.1541,shame,0.0925,-0.0489,0.0506,0.8055555555555556,1.0,0.13198545031404285,0.13198545031404285,warning,0
59,safe_companionship,express,0.1424,shame,0.0854,-0.0506,0.1023,0.8027210884353742,1.0,0.13374452406290926,0.13374452406290926,warning,0
60,daily_neutral,observe,0.035,,0.021,-0.072,0.0,0.8053691275167785,1.0,0.134701337609135,0.134701337609135,warning,0
61,safe_companionship,express,0.1431,shame,0.0859,-0.0505,0.0152,0.8026315789473685,1.0,0.13747813282638266,0.13747813282638266,warning,0
62,safe_companionship,express,0.1435,shame,0.0861,-0.0505,0.0752,0.8,1.0,0.14110442173628593,0.14110442173628593,warning,0
63,conflict,withdraw,0.6532,guilt,0.3919,0.062,0.2111,0.7911392405063291,0.8999999999999999,0.1402077022072355,0.1402077022072355,warning,0
64,boundary_invasion,withdraw,0.7,guilt,0.42,0.069,0.3241,0.782608695652174,0.8,0.14008664589128544,0.14008664589128544,warning,0
65,conflict,withdraw,0.7,guilt,0.42,0.069,0.463,0.774390243902439,0.7,0.14099800770697446,0.14099800770697446,warning,0
66,conflict,withdraw,0.7,guilt,0.42,0.069,0.6124,0.7664670658682635,0.6000000000000001,0.14229626462488515,0.14229626462488515,warning,0
67,conflict,withdraw,0.7,guilt,0.42,0.069,0.7541,0.7588235294117647,0.5,0.14436065999015055,0.14436065999015055,warning,0
68,recovery,repair,0.3329,doubt,0.1997,-0.0221,0.7746,0.7572254335260116,0.5,0.14221312157568888,0.14221312157568888,warning,0
69,recovery,repair,0.3348,doubt,0.2009,-0.0218,0.7941,0.7556818181818182,0.5,0.14243951031010169,0.14243951031010169,warning,0
70,recovery,repair,0.3349,doubt,0.201,-0.0218,0.7997,0.7541899441340782,0.5,0.14112123693370887,0.14112123693370887,warning,0
71,recovery,repair,0.3359,doubt,0.2015,-0.0216,0.8161,0.7527472527472527,0.5,0.14105618258202748,0.14105618258202748,warning,0
72,recovery,repair,0.3358,doubt,0.2015,-0.0216,0.8343,0.7513513513513513,0.5,0.14133532288715067,0.14133532288715067,warning,0
73,recovery,repair,0.3368,doubt,0.2021,-0.0215,0.8644,0.75,0.5,0.14189501749016634,0.14189501749016634,warning,0
74,daily_neutral,observe,0.035,,0.021,-0.072,0.6192,0.7526315789473684,0.5,0.1415420856053025,0.1415420856053025,warning,0
75,intimacy_growth,reach_out,0.0986,righteous,0.0177,-0.0572,0.6731,0.7512953367875648,0.5,0.14668239554068396,0.14668239554068396,warning,0
76,daily_neutral,observe,0.035,,0.021,-0.072,0.4206,0.7538461538461538,0.5,0.14369032570027107,0.14369032570027107,warning,0
77,safe_companionship,express,0.1003,righteous,0.0181,-0.0569,0.4704,0.7525252525252525,0.5,0.1448229430775029,0.1448229430775029,warning,0
78,daily_neutral,observe,0.035,,0.021,-0.072,0.2526,0.755,0.5,0.14526736552187972,0.14526736552187972,warning,0
79,safe_companionship,express,0.0993,righteous,0.0179,-0.0571,0.3114,0.7536945812807881,0.5,0.14522236158823518,0.14522236158823518,warning,0
80,intimacy_growth,reach_out,0.0977,righteous,0.0176,-0.0574,0.3471,0.7524271844660194,0.5,0.14919612613840275,0.14919612613840275,warning,0
81,daily_neutral,observe,0.035,,0.021,-0.072,0.0899,0.7548076923076923,0.5,0.14918469139976617,0.14918469139976617,warning,0
82,safe_companionship,express,0.0984,righteous,0.0177,-0.0572,0.1647,0.7535545023696683,0.5,0.14940386078894727,0.14940386078894727,warning,0
83,daily_neutral,observe,0.035,,0.021,-0.072,0.0078,0.755868544600939,0.6000000000000001,0.14925846586490454,0.14925846586490454,warning,0
84,safe_companionship,express,0.0899,righteous,0.0162,-0.0585,0.0394,0.7546296296296297,0.7,0.1507945834806132,0.1507945834806132,warning,0
85,safe_companionship,express,0.0881,righteous,0.0159,-0.0588,0.1264,0.7534246575342466,0.8,0.15165590922200092,0.15165590922200092,warning,0
86,daily_neutral,observe,0.035,,0.021,-0.072,0.0125,0.755656108597285,0.8999999999999999,0.14938414119444354,0.14938414119444354,warning,0
87,safe_companionship,express,0.0911,righteous,0.0164,-0.0583,0.0758,0.7544642857142857,1.0,0.15133214290938266,0.15133214290938266,warning,0
88,daily_neutral,observe,0.035,,0.021,-0.072,0.0,0.7566371681415929,1.0,0.15002410781610695,0.15002410781610695,warning,0
89,safe_companionship,express,0.0898,righteous,0.0162,-0.0585,0.0219,0.7554585152838428,1.0,0.15156971970149424,0.15156971970149424,warning,0
90,intimacy_growth,reach_out,0.0898,righteous,0.0162,-0.0585,0.0992,0.7543103448275862,1.0,0.15120164755708002,0.15120164755708002,warning,0
91,daily_neutral,observe,0.035,,0.021,-0.072,0.0042,0.7564102564102564,1.0,0.1502723184310959,0.1502723184310959,warning,0
92,safe_companionship,express,0.095,righteous,0.0171,-0.0577,0.0572,0.7552742616033755,1.0,0.15072384213491594,0.15072384213491594,warning,0
93,daily_neutral,observe,0.035,,0.021,-0.072,0.0,0.7573221757322176,1.0,0.14963801813810568,0.14963801813810568,warning,0
94,safe_companionship,express,0.0967,righteous,0.0174,-0.0575,0.0595,0.756198347107438,1.0,0.15021270856285776,0.15021270856285776,warning,0
95,safe_companionship,express,0.0981,righteous,0.0177,-0.0573,0.0936,0.7551020408163265,1.0,0.1507467795186627,0.1507467795186627,warning,0
96,daily_neutral,observe,0.035,,0.021,-0.072,0.0,0.757085020242915,1.0,0.15031618604371855,0.15031618604371855,warning,0
97,daily_neutral,observe,0.035,,0.021,-0.072,0.0087,0.7590361445783133,1.0,0.1497695912303744,0.1497695912303744,warning,0
98,daily_neutral,observe,0.035,,0.021,-0.072,0.0,0.7609561752988048,1.0,0.14804121812994442,0.14804121812994442,warning,0
99,safe_companionship,express,0.1037,righteous,0.0187,-0.0564,0.0382,0.7598425196850394,1.0,0.15061289039182313,0.15061289039182313,warning,0
100,daily_neutral,observe,0.035,,0.021,-0.072,0.0043,0.76171875,1.0,0.14845163778361456,0.14845163778361456,warning,0
101,daily_neutral,observe,0.035,,0.021,-0.072,0.0,0.7635658914728682,1.0,0.1471963372414586,0.1471963372414586,warning,0
102,daily_neutral,observe,0.035,,0.021,-0.072,0.0,0.7653846153846153,1.0,0.14792882187172515,0.14792882187172515,warning,0
103,daily_neutral,observe,0.035,,0.021,-0.072,0.01,0.767175572519084,1.0,0.1490457531544617,0.1490457531544617,warning,0
104,daily_neutral,observe,0.035,,0.021,-0.072,0.0,0.7689393939393939,1.0,0.14596611956369665,0.14596611956369665,warning,0
105,intimacy_growth,reach_out,0.0993,righteous,0.0179,-0.0571,0.0695,0.7677902621722846,1.0,0.14793172368696036,0.14793172368696036,warning,0
106,intimacy_growth,reach_out,0.1005,righteous,0.0181,-0.0569,0.1224,0.7666666666666667,1.0,0.1485784567156608,0.1485784567156608,warning,0
107,daily_neutral,observe,0.035,,0.021,-0.072,0.0205,0.7683823529411765,1.0,0.14840318281406398,0.14840318281406398,warning,0
108,safe_companionship,express,0.1051,righteous,0.0189,-0.0562,0.0666,0.7672727272727272,1.0,0.14841949577199046,0.14841949577199046,warning,0
109,intimacy_growth,reach_out,0.105,righteous,0.0189,-0.0563,0.1314,0.7661870503597122,1.0,0.14826410490749506,0.14826410490749506,warning,0
110,daily_neutral,observe,0.035,,0.021,-0.072,0.0,0.7678571428571429,1.0,0.14824264047029054,0.14824264047029054,warning,0
111,daily_neutral,observe,0.035,,0.021,-0.072,0.0137,0.7695035460992907,1.0,0.1469665502591151,0.1469665502591151,warning,0
112,daily_neutral,observe,0.035,,0.021,-0.072,0.0113,0.7711267605633803,1.0,0.14557734195392305,0.14557734195392305,warning,0
113,intimacy_growth,reach_out,0.1084,righteous,0.0195,-0.0557,0.0949,0.7700348432055749,1.0,0.1474432794088899,0.1474432794088899,warning,0
114,safe_companionship,express,0.1101,righteous,0.0198,-0.0555,0.1559,0.7689655172413793,1.0,0.14728421678297238,0.14728421678297238,warning,0
115,daily_neutral,observe,0.035,,0.021,-0.072,0.0129,0.7705479452054794,1.0,0.14563836719054446,0.14563836719054446,warning,0
116,intimacy_growth,reach_out,0.1085,righteous,0.0195,-0.0557,0.0682,0.7694915254237288,1.0,0.14709963886992675,0.14709963886992675,warning,0
117,safe_companionship,express,0.1109,righteous,0.02,-0.0554,0.117,0.7684563758389261,1.0,0.1476190415561642,0.1476190415561642,warning,0
118,daily_neutral,observe,0.035,,0.021,-0.072,0.0116,0.77,1.0,0.1456518979247738,0.1456518979247738,warning,0
119,safe_companionship,express,0.1092,righteous,0.0197,-0.0556,0.0894,0.768976897689769,1.0,0.1465056208412885,0.1465056208412885,warning,0
120,safe_companionship,express,0.1035,righteous,0.0186,-0.0565,0.1405,0.7679738562091504,1.0,0.1488532037461708,0.1488532037461708,warning,0
121,safe_companionship,express,0.105,righteous,0.0189,-0.0562,0.177,0.7669902912621359,1.0,0.14966263482591552,0.14966263482591552,warning,0
122,intimacy_growth,reach_out,0.1003,righteous,0.018,-0.057,0.2301,0.7660256410256411,1.0,0.15003957448904787,0.15003957448904787,warning,0
123,intimacy_growth,reach_out,0.1007,righteous,0.0181,-0.0569,0.2775,0.765079365079365,1.0,0.1496857198961578,0.1496857198961578,warning,0
124,daily_neutral,observe,0.035,,0.021,-0.072,0.0418,0.7665615141955836,1.0,0.14905348136917146,0.14905348136917146,warning,0
125,safe_companionship,express,0.1043,righteous,0.0188,-0.0564,0.1012,0.765625,1.0,0.14913748942542748,0.14913748942542748,warning,0
126,daily_neutral,observe,0.035,,0.021,-0.072,0.0048,0.7670807453416149,1.0,0.14877026151228132,0.14877026151228132,warning,0
127,daily_neutral,observe,0.035,,0.021,-0.072,0.0,0.7685185185185185,1.0,0.1466421629585348,0.1466421629585348,warning,0
128,safe_companionship,express,0.1058,righteous,0.019,-0.0561,0.0456,0.7675840978593272,1.0,0.14999754939801827,0.14999754939801827,warning,0
129,safe_companionship,express,0.109,righteous,0.0196,-0.0557,0.0857,0.7666666666666667,1.0,0.14978327777937758,0.14978327777937758,warning,0
130,intimacy_growth,reach_out,0.1042,righteous,0.0188,-0.0564,0.1482,0.7657657657657657,1.0,0.14972078969374822,0.14972078969374822,warning,0
131,safe_companionship,express,0.1074,righteous,0.0193,-0.0559,0.2303,0.7648809523809523,1.0,0.14969036461266946,0.14969036461266946,warning,0
132,daily_neutral,observe,0.035,,0.021,-0.072,0.0,0.7662721893491125,1.0,0.15000248687975723,0.15000248687975723,warning,0
133,daily_neutral,observe,0.035,,0.021,-0.072,0.0003,0.7676470588235295,1.0,0.15017576042838884,0.15017576042838884,warning,0
134,safe_companionship,express,0.1036,righteous,0.0187,-0.0565,0.0481,0.7667638483965015,1.0,0.15046683223264423,0.15046683223264423,warning,0
135,daily_neutral,observe,0.035,,0.021,-0.072,0.0,0.7681159420289855,1.0,0.14924691013050875,0.14924691013050875,warning,0
136,intimacy_growth,reach_out,0.1008,righteous,0.0181,-0.0569,0.0281,0.7672413793103449,1.0,0.15007044130542088,0.15007044130542088,warning,0
